City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Georgiyevka,KZ,43.0369,74.7114,90.3,19,0,2.86,clear sky
70,Gigmoto,PH,13.7796,124.39,87.26,70,95,3.8,overcast clouds
71,Torbay,CA,47.6666,-52.7314,68.88,82,0,11.5,clear sky
72,Tiksi,RU,71.6872,128.8694,48.72,73,50,8.1,scattered clouds
73,Mola Di Bari,IT,41.0609,17.0873,84.58,48,0,4.34,clear sky
74,Provideniya,RU,64.3833,-173.3,44.51,88,100,4.99,light rain
75,Hilo,US,19.7297,-155.09,75.83,78,94,5.55,light rain
76,Tabuk,PH,17.4189,121.4443,87.69,68,82,4.41,broken clouds
77,Pisco,PE,-13.7,-76.2167,60.85,82,100,2.3,mist
78,Jejuri,IN,18.2833,74.1667,71.15,89,100,7.4,overcast clouds
79,Tasiilaq,GL,65.6145,-37.6368,33.96,89,98,10.2,overcast clouds
80,Camacha,PT,33.0833,-16.3333,67.42,88,20,4.61,few clouds
81,Bredasdorp,ZA,-34.5322,20.0403,47.07,82,37,0.92,scattered clouds
82,Sayyan,YE,15.1718,44.3244,57.87,80,100,5.77,overcast clouds
83,Jamestown,US,42.097,-79.2353,71.24,78,0,10.36,clear sky
84,Vardo,NO,70.3705,31.1107,49.98,87,75,10.36,light rain
85,Juneau,US,58.3019,-134.4197,51.1,99,100,2.06,light rain
86,Hermanus,ZA,-34.4187,19.2345,54.64,62,100,8.55,overcast clouds
87,Barra Do Corda,BR,-5.5,-45.25,75.06,53,43,2.21,scattered clouds
88,Birnin Kebbi,NG,12.4539,4.1975,77.5,77,100,11.32,overcast clouds
89,Souillac,MU,-20.5167,57.5167,68.38,83,75,9.22,broken clouds
90,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,100,100,13.8,light rain
91,Sambava,MG,-14.2667,50.1667,68.16,80,86,9.53,light rain
92,Butaritari,KI,3.0707,172.7902,81.48,79,96,15.7,light rain
93,Vao,NC,-22.6667,167.4833,71.87,91,92,9.73,overcast clouds
94,Lebu,CL,-37.6167,-73.65,51.49,93,100,2.89,light rain
95,Odessa,UA,46.4775,30.7326,73.06,54,0,2.37,clear sky
96,Laredo,US,27.5064,-99.5075,93.49,43,0,19.57,clear sky
97,Sonipat,IN,28.9833,77.0167,86.0,58,48,12.03,scattered clouds
98,Asau,RO,46.4333,26.4,67.84,55,5,4.88,clear sky
99,Thompson,CA,55.7435,-97.8558,59.16,63,100,4.61,overcast clouds
100,Bambous Virieux,MU,-20.3428,57.7575,69.22,83,75,9.22,broken clouds
101,San Patricio,US,28.017,-97.5169,83.37,75,40,15.05,scattered clouds
102,Namibe,AO,-15.1961,12.1522,62.47,90,1,2.86,clear sky
103,Sao Filipe,CV,14.8961,-24.4956,76.53,88,100,4.09,light rain
104,Gamba,GA,-2.65,10.0,67.55,92,6,2.64,clear sky
105,Katherine,AU,-14.4667,132.2667,84.52,10,12,4.61,few clouds
106,Muros,ES,42.7762,-9.0603,61.84,86,1,3.49,clear sky
107,Aldergrove,CA,49.058,-122.4709,70.88,67,20,9.22,few clouds
108,Saint-Philippe,RE,-21.3585,55.7679,64.22,82,75,11.92,light rain
109,Touros,BR,-5.1989,-35.4608,74.34,90,32,12.59,scattered clouds
110,Denpasar,ID,-8.65,115.2167,79.65,60,13,12.57,few clouds
111,Iqaluit,CA,63.7506,-68.5145,46.13,93,100,0.0,overcast clouds
112,Sinnamary,GF,5.3833,-52.95,77.81,86,97,8.34,overcast clouds
113,Grootfontein,NA,-19.5667,18.1167,51.37,62,4,1.14,clear sky
114,Riyadh,SA,24.6877,46.7219,91.76,19,96,6.96,overcast clouds
115,Daska,PK,32.3243,74.3497,84.18,75,86,11.23,overcast clouds
116,Lorengau,PG,-2.0226,147.2712,85.51,70,41,10.54,scattered clouds
117,Margate,GB,51.3813,1.3862,64.31,82,87,3.0,overcast clouds
118,Akyab,MM,20.15,92.9,81.43,81,100,6.42,overcast clouds
119,Mfou,CM,3.7159,11.6427,69.66,100,75,3.44,broken clouds
120,Inongo,CD,-1.95,18.2667,66.69,98,71,5.93,broken clouds
121,Darfo,IT,45.8779,10.1812,77.32,83,17,5.7,few clouds
122,Mackay,AU,-21.15,149.2,74.68,76,10,10.94,clear sky
123,Murray Bridge,AU,-35.1167,139.2667,64.13,50,92,14.72,overcast clouds
124,Nador,MA,35.174,-2.9287,77.25,88,100,2.3,overcast clouds
125,Mount Isa,AU,-20.7333,139.5,80.37,24,0,8.05,clear sky
126,Comodoro Rivadavia,AR,-45.8667,-67.5,38.17,67,100,5.41,overcast clouds
127,San Andres,CO,12.5847,-81.7006,82.42,83,40,11.5,scattered clouds
128,Daltenganj,IN,24.0333,84.0667,85.46,65,100,5.48,overcast clouds
129,Bathsheba,BB,13.2167,-59.5167,81.21,86,20,16.11,few clouds
130,Warud,IN,21.4667,78.2667,75.2,95,100,4.63,overcast clouds
131,Deputatskiy,RU,69.3,139.9,61.63,49,28,11.81,scattered clouds
132,Nouakchott,MR,18.0858,-15.9785,80.53,89,62,9.44,light rain
133,Isangel,VU,-19.55,169.2667,80.8,74,1,11.16,clear sky
134,Sulangan,PH,11.1373,123.7228,83.59,73,97,4.61,overcast clouds
135,Pervomayskoye,RU,43.919,46.7102,64.83,84,99,11.86,light rain
136,Oskarshamn,SE,57.2645,16.4484,56.98,94,97,9.15,overcast clouds
137,Ust-Kuyga,RU,70.0167,135.6,73.69,45,8,4.05,clear sky
138,Kishi,NG,9.0833,3.85,68.85,98,98,4.34,overcast clouds
139,Plettenberg Bay,ZA,-34.0527,23.3716,52.52,79,98,8.08,light rain
140,Huarmey,PE,-10.0681,-78.1522,62.04,89,23,4.18,few clouds
141,Carnarvon,AU,-24.8667,113.6333,64.81,51,20,19.17,few clouds
142,Senanga,ZM,-16.1167,23.2667,54.27,52,1,6.17,clear sky
143,Port Blair,IN,11.6667,92.75,86.04,74,75,8.05,broken clouds
144,Jilib,SO,0.4883,42.7854,70.83,86,73,6.55,broken clouds
145,Peace River,CA,56.2501,-117.286,75.51,49,100,5.75,overcast clouds
146,Pallisa,UG,1.145,33.7094,65.79,90,99,3.31,overcast clouds
147,Poya,NC,-21.35,165.15,75.4,79,83,8.43,broken clouds
148,Beringovskiy,RU,63.05,179.3167,45.52,75,100,14.14,overcast clouds
149,Toora-Khem,RU,52.4675,96.11,65.52,51,10,3.29,clear sky
150,Batagay,RU,67.6333,134.6333,63.27,81,100,4.47,overcast clouds
151,Port Lincoln,AU,-34.7333,135.8667,60.49,60,96,19.1,light rain
152,Ust-Kut,RU,56.7938,105.7672,60.37,98,100,0.92,light rain
153,Anlu,CN,31.1661,112.5831,84.47,70,2,6.64,clear sky
154,La Ronge,CA,55.1001,-105.2842,61.05,82,75,2.3,broken clouds
155,Haines Junction,CA,60.7522,-137.5108,60.75,39,40,13.8,scattered clouds
156,Hue,VN,16.4667,107.6,87.91,70,20,5.75,few clouds
157,Kasongo-Lunda,CD,-6.4667,16.8167,73.47,76,99,1.3,overcast clouds
158,Natal,BR,-5.795,-35.2094,73.71,90,59,10.38,broken clouds
159,La Peca,PE,-5.6111,-78.435,66.96,90,11,4.32,light rain
160,Ilulissat,GL,69.2167,-51.1,38.19,99,100,1.12,overcast clouds
161,Kahului,US,20.8947,-156.47,78.58,69,38,10.56,scattered clouds
162,Namatanai,PG,-3.6667,152.4333,84.61,69,86,9.75,overcast clouds
163,Tooele,US,40.5308,-112.2983,84.52,25,65,3.04,broken clouds
164,Abha,SA,18.2164,42.5053,61.05,88,40,8.05,scattered clouds
165,Abnub,EG,27.2696,31.1511,78.76,40,20,10.13,few clouds
166,Imeni Poliny Osipenko,RU,52.4201,136.4853,77.52,57,1,4.94,clear sky
167,Zhezkazgan,KZ,47.8043,67.7144,77.83,27,0,9.15,clear sky
168,Bahawalnagar,PK,30.5508,73.3908,88.93,64,94,13.2,overcast clouds
169,Ambilobe,MG,-13.2,49.05,61.75,83,10,3.49,clear sky
