City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Canon City,US,77.16,clear sky,38.441,-105.2424,Travel Inn Motel
497,Jalu,LY,76.41,clear sky,29.0331,21.5482,صاحبة الفخامة
499,Methoni,GR,84.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
500,Ransang,PH,86.25,scattered clouds,8.9603,117.5828,Black and Crystal Sand Campsite
503,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
509,Belle Fourche,US,76.08,clear sky,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
510,Moindou,NC,75.16,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
512,San Ramon,US,77.38,clear sky,37.7799,-121.978,San Ramon Marriott
515,Umm Lajj,SA,83.75,broken clouds,25.0213,37.2685,Moon light Furnished Units
518,Crotone,IT,83.19,clear sky,39.0851,17.1178,Helios Hotel
519,Sun Valley,US,86.59,clear sky,39.5963,-119.776,Panther Valley RV Park
521,Batiano,PH,85.41,overcast clouds,7.5534,126.4907,
522,Sabang,ID,81.5,moderate rain,5.8933,95.3214,Hotel Citra
530,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
531,Nioro,GM,75.16,light rain,13.35,-15.75,
533,Pundaguitan,PH,83.89,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
534,Padang,ID,85.05,scattered clouds,-0.9492,100.3543,Mercure Padang
536,Tual,ID,78.98,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
539,Sibolga,ID,85.35,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
540,Manhattan,US,87.46,clear sky,40.7834,-73.9662,The Mark Hotel
542,Pasighat,IN,80.17,overcast clouds,28.0667,95.3333,Siang Guest House
547,Belvidere,US,79.11,overcast clouds,42.2639,-88.8443,Americas Best Value Inn Belvidere Rockford
